순위,관광지ID,관심지점명,구분,연령대,비율
1,664bcb8aaae12fcedf6b388e569532d8,벡스코제1전시장,문화생활시설,30,16.8
2,c63b5b337225ae746ba52eb7f398aac1,광안리해수욕장,관광명소,30,14.5
3,bf44234f9b63729e0fe62962a5188523,송정해수욕장,관광명소,30,12.5
4,d68c2c6af7cf6cb1092154f35a52c1c7,해동용궁사,종교,30,10.9
5,88222e7e5f8172698373086e65c1fad1,해운대해수욕장,관광명소,30,8.7
6,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,관광명소,30,7.5
7,c3e86c012b7f8f4ee15697cde66a9d41,벡스코제2전시장,문화생활시설,30,7.5
8,52d97f18d108708481e07f7d563f144a,부산시민공원,관광명소,30,7.5
9,a2ffe8b868271413da7ed51cc20f9181,사직야구장,레저/스포츠,30,7.4
10,3c084e342c5c7955c27bd07463731102,국립해양박물관,문화생활시설,30,6.7
