순위,관광지ID,관심지점명,구분,연령대,비율
1,d68c2c6af7cf6cb1092154f35a52c1c7,해동용궁사,종교,40,15.1
2,664bcb8aaae12fcedf6b388e569532d8,벡스코제1전시장,문화생활시설,40,13.6
3,bf44234f9b63729e0fe62962a5188523,송정해수욕장,관광명소,40,11.3
4,88222e7e5f8172698373086e65c1fad1,해운대해수욕장,관광명소,40,10.6
5,c63b5b337225ae746ba52eb7f398aac1,광안리해수욕장,관광명소,40,10.0
6,3c084e342c5c7955c27bd07463731102,국립해양박물관,문화생활시설,40,8.1
7,54b64291ef5d01a6c692f95599d6b038,롯데월드 어드벤처 부산,레저/스포츠,40,8.0
8,a2ffe8b868271413da7ed51cc20f9181,사직야구장,레저/스포츠,40,8.0
9,3683ec39317ce1a7d7d3a109c0797696,국립부산과학관,문화생활시설,40,7.7
10,5d6df14111efdde523323f1e8815ea68,신선대부두,교통시설,40,7.5
