순위,관광지ID,관심지점명,구분,연령대,비율
1,c63b5b337225ae746ba52eb7f398aac1,광안리해수욕장,관광명소,20,26.4
2,bf44234f9b63729e0fe62962a5188523,송정해수욕장,관광명소,20,18.6
3,88222e7e5f8172698373086e65c1fad1,해운대해수욕장,관광명소,20,10.4
4,a2ffe8b868271413da7ed51cc20f9181,사직야구장,레저/스포츠,20,8.3
5,664bcb8aaae12fcedf6b388e569532d8,벡스코제1전시장,문화생활시설,20,8.2
6,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,관광명소,20,6.8
7,d68c2c6af7cf6cb1092154f35a52c1c7,해동용궁사,종교,20,6.0
8,4f8c6518acd1e6ff053e589e0ac90fa7,송도해수욕장,관광명소,20,6.0
9,98704b020aa76f5f7e75af6010b148ed,백운포체육공원,관광명소,20,4.8
10,1afce0d010e203fa0b9b7c3e138777fe,삼락생태공원,관광명소,20,4.4
