순위,관광지ID,관심지점명,구분,연령대,비율
1,6d162daa5d414b4c04f4dfd53017c652,강원랜드카지노,레저/스포츠,50,15.1
2,817c4a3902258090a27aca081b01743f,속초해변,관광명소,50,14.8
3,8cce89feb1f76fc7cb1078812e964a94,낙산사,종교,50,14.0
4,1597d21403f63da1bb0539592597a525,경포해변,관광명소,50,11.1
5,3abbc4295f8f464f3e4527cbd7254c53,주문진항,교통시설,50,8.6
6,776e7e89353e146a00645ecb2456c971,월정사,종교,50,7.9
7,241a42aa4e1d329ae60189e9679e2866,안목해변,관광명소,50,7.9
8,db3196a2f87095a9167e0e78a64eb146,대포항,교통시설,50,7.3
9,1ce64a45ad6f0d24fa466338dd5bf65f,낙산해수욕장,관광명소,50,6.9
10,95f258de190e3d709ebe565f0b972ec4,휴휴암,종교,50,6.4
