순위,관광지ID,관심지점명,구분,연령대,비율
1,817c4a3902258090a27aca081b01743f,속초해변,관광명소,20,21.1
2,1597d21403f63da1bb0539592597a525,경포해변,관광명소,20,16.8
3,241a42aa4e1d329ae60189e9679e2866,안목해변,관광명소,20,14.3
4,6f86adae03cf1c59fd5964461f603f73,비발디파크 오션월드,레저/스포츠,20,10.9
5,698c84134b9f885351a4acc4bc5944f0,강문해변,관광명소,20,10.9
6,01dffbc242ba6dd5672bde92ac2b93b4,휘닉스평창,레저/스포츠,20,6.8
7,0c1d4f02a0e208eb32f317376071eb5d,비발디파크,레저/스포츠,20,5.6
8,8cce89feb1f76fc7cb1078812e964a94,낙산사,종교,20,4.8
9,f5806b7c5bd6282617ad5096ee435823,엘리시안강촌스키장,레저/스포츠,20,4.5
10,1ce64a45ad6f0d24fa466338dd5bf65f,낙산해수욕장,관광명소,20,4.3
