순위,관광지ID,관심지점명,구분,연령대,비율
1,817c4a3902258090a27aca081b01743f,속초해변,관광명소,40,18.1
2,6f86adae03cf1c59fd5964461f603f73,비발디파크 오션월드,레저/스포츠,40,12.0
3,01dffbc242ba6dd5672bde92ac2b93b4,휘닉스평창,레저/스포츠,40,11.6
4,8cce89feb1f76fc7cb1078812e964a94,낙산사,종교,40,11.2
5,c9be92f2483770779b3c963fe8946c29,레고랜드코리아리조트,레저/스포츠,40,10.1
6,6d162daa5d414b4c04f4dfd53017c652,강원랜드카지노,레저/스포츠,40,8.6
7,1597d21403f63da1bb0539592597a525,경포해변,관광명소,40,8.3
8,241a42aa4e1d329ae60189e9679e2866,안목해변,관광명소,40,7.1
9,db3196a2f87095a9167e0e78a64eb146,대포항,교통시설,40,6.7
10,1ce64a45ad6f0d24fa466338dd5bf65f,낙산해수욕장,관광명소,40,6.2
