순위,관광지ID,관심지점명,구분,연령대,비율
1,6b47f8efd4e12c41604aab9e37ef5d67,EXCO서관,문화생활시설,30,17.9
2,1fb63ce314c393bab942cbaf8edbc8a0,대구삼성라이온즈파크,레저/스포츠,30,14.0
3,26128ba4320cb4a31dbb4a693a9f4f34,수성못,관광명소,30,13.8
4,8d5c1534eca00aa569427d762ff56d3f,이월드,레저/스포츠,30,13.8
5,dca31ec05a023c837e713eebe846fa38,2.28기념중앙공원,관광명소,30,8.5
6,61e0f9151da2cc26c47fbe2fe669ede9,두류공원,관광명소,30,6.9
7,c02b1e8c39e84057c1a17d0eea9c8bba,동촌유원지,관광명소,30,6.8
8,d3010607c9fcf016168e6d4434dd0a41,EXCO동관,문화생활시설,30,6.7
9,5f415d4e5fb3be6cacc95d6b5343a5eb,스파밸리네이처파크,관광명소,30,6.2
10,e1175cc671cc0c41de84bde950ff07d6,국립대구과학관,문화생활시설,30,5.5
