순위,관광지ID,관심지점명,구분,연령대,비율
1,6b47f8efd4e12c41604aab9e37ef5d67,EXCO서관,문화생활시설,50,18.0
2,1fb63ce314c393bab942cbaf8edbc8a0,대구삼성라이온즈파크,레저/스포츠,50,11.5
3,e5120b90a52e39fd58666c30afa44f14,동화사,종교,50,10.2
4,7f6b613b1103d61509e8623f5e91ca40,대구수목원,레저/스포츠,50,10.2
5,26128ba4320cb4a31dbb4a693a9f4f34,수성못,관광명소,50,9.9
6,ab2ad28973026d96cd3ad167b817102d,대구간송미술관,문화생활시설,50,9.2
7,3448b9cbfdd9058894bc0adf507de4cf,옥연지송해공원,관광명소,50,8.7
8,d3010607c9fcf016168e6d4434dd0a41,EXCO동관,문화생활시설,50,7.9
9,c02b1e8c39e84057c1a17d0eea9c8bba,동촌유원지,관광명소,50,7.2
10,60fe33fc8b11a64bf7f3beb664dd6983,이지스카이CC,레저/스포츠,50,7.2
