순위,관광지ID,관심지점명,구분,연령대,비율
1,1fb63ce314c393bab942cbaf8edbc8a0,대구삼성라이온즈파크,레저/스포츠,40,18.1
2,8d5c1534eca00aa569427d762ff56d3f,이월드,레저/스포츠,40,17.0
3,6b47f8efd4e12c41604aab9e37ef5d67,EXCO서관,문화생활시설,40,16.7
4,e1175cc671cc0c41de84bde950ff07d6,국립대구과학관,문화생활시설,40,8.9
5,ab2ad28973026d96cd3ad167b817102d,대구간송미술관,문화생활시설,40,7.9
6,26128ba4320cb4a31dbb4a693a9f4f34,수성못,관광명소,40,7.4
7,f4099d024ad0f09dc9b6a8c6278835de,스파밸리,레저/스포츠,40,7.1
8,d3010607c9fcf016168e6d4434dd0a41,EXCO동관,문화생활시설,40,5.9
9,5f415d4e5fb3be6cacc95d6b5343a5eb,스파밸리네이처파크,관광명소,40,5.6
10,c02b1e8c39e84057c1a17d0eea9c8bba,동촌유원지,관광명소,40,5.4
