순위,관광지ID,관심지점명,구분,연령대,비율
1,a8ff823cf89c9c45007192b4dc3a4ea0,성산일출봉,관광명소,50,17.4
2,9cd3bb3b5051afdc13d5e97a4312b2ff,함덕해수욕장,관광명소,50,16.3
3,0c052befbc54513e9034242671758eb3,협재해수욕장,관광명소,50,11.3
4,b47ff4144d0958e11e1bf3c52b19afd5,오설록티뮤지엄,문화생활시설,50,9.8
5,c26b46644f90fb9238379021842455b7,한라산둘레길사려니숲길,여행/레저기타,50,9.4
6,a5c26c106e8cd6df2d4d4d48eb7a8a08,이호테우해변,관광명소,50,8.9
7,b3b55010317bb4250ab9459330043133,비자림,관광명소,50,7.6
8,eeb1011996bd12e3d160e3aaa51fe11c,산방산탄산온천,관광명소,50,6.8
9,ea311a1a162fc3cd78d21bd3004df026,카멜리아힐,관광명소,50,6.4
10,d8d855c465198499868fb2b566ebee8d,김녕해수욕장,관광명소,50,6.1
