순위,관광지ID,관심지점명,구분,연령대,비율
1,9cd3bb3b5051afdc13d5e97a4312b2ff,함덕해수욕장,관광명소,20,14.2
2,0c052befbc54513e9034242671758eb3,협재해수욕장,관광명소,20,13.6
3,b47ff4144d0958e11e1bf3c52b19afd5,오설록티뮤지엄,문화생활시설,20,12.5
4,a5c26c106e8cd6df2d4d4d48eb7a8a08,이호테우해변,관광명소,20,12.4
5,a8ff823cf89c9c45007192b4dc3a4ea0,성산일출봉,관광명소,20,11.1
6,c62852ce3a0f9c7626f2b0b079a5f1cb,금오름,관광명소,20,8.3
7,116fa57968741ee16ae1dddc57eeb3cf,곽지해수욕장,관광명소,20,8.1
8,d8d855c465198499868fb2b566ebee8d,김녕해수욕장,관광명소,20,7.4
9,a1f434da1f746d958fa96f818518ec3c,9.81파크,레저/스포츠,20,7.0
10,21334eb3fb272f87272dea1c4906f6cd,판포포구,관광명소,20,5.5
