순위,관광지ID,관심지점명,구분,연령대,비율
1,3f73bffa7c6d98063eebe1ecd3305da6,에버랜드,레저/스포츠,40,23.1
2,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,40,14.3
3,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,40,10.1
4,84642c0e4bdc2f34c4ba1fca7c0937ae,서울랜드,레저/스포츠,40,8.6
5,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,40,8.6
6,276874ccf43c6c5c48e4cfaf7841a223,킨텍스제2전시장,문화생활시설,40,8.3
7,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,40,7.2
8,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,40,6.7
9,ede5898c7b76ed7fbd8ec451ec4dbf83,서울대공원,레저/스포츠,40,6.6
10,817c4a3902258090a27aca081b01743f,속초해변,관광명소,40,6.6
