순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,50,25.8
2,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,50,15.4
3,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,50,11.1
4,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,50,7.9
5,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,50,7.8
6,97c0a1427be208a8ca50e879baa895c4,올림픽공원,관광명소,50,7.1
7,ac50c8b01e74f605a64ac86543f58c2a,헌릉과인릉,관광명소,50,6.6
8,b9dc3865498d79141065bc74ea791de7,CGV용산아이파크몰,문화생활시설,50,6.5
9,6e83a36a9b7bd04680c637b8f44a99ab,봉은사,종교,50,6.0
10,4c259dd1d968533026e3c9a60cc4c34a,서울숲,관광명소,50,5.7
