순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,50,17.8
2,3f73bffa7c6d98063eebe1ecd3305da6,에버랜드,레저/스포츠,50,12.3
3,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,50,10.6
4,e871c31f2d8767492bd2063733a23ec3,킨텍스제1전시장,문화생활시설,50,10.3
5,276874ccf43c6c5c48e4cfaf7841a223,킨텍스제2전시장,문화생활시설,50,10.3
6,6d162daa5d414b4c04f4dfd53017c652,강원랜드카지노,레저/스포츠,50,8.1
7,817c4a3902258090a27aca081b01743f,속초해변,관광명소,50,7.9
8,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,50,7.6
9,72c38469b443dcd14b3a2c8a954e11de,통도사,종교,50,7.6
10,8cce89feb1f76fc7cb1078812e964a94,낙산사,종교,50,7.5
