순위,관광지ID,관심지점명,구분,연령대,비율
1,950460b21a449f00e2d26567470e8235,장태산자연휴양림,관광명소,50,15.5
2,d42eac0a9c0ae6135d5b77a519903c21,대전월드컵경기장,레저/스포츠,50,11.3
3,031f529330fca0ca10f5c7f1e48d826f,대전한화생명볼파크,레저/스포츠,50,10.6
4,c068465a71b611ca43be96ba9dea0fee,한밭수목원,레저/스포츠,50,10.4
5,2eecebd9a6a14ee0490f4528eb22150a,우리들공원,관광명소,50,9.9
6,25cb65969d572b447f1979010e032f80,대전컨벤션센터제1전시장,문화생활시설,50,9.5
7,4d5407844b1e753a788247fbe3a11e36,대전컨벤션센터제2전시장,문화생활시설,50,8.7
8,10e288b4360eb8cd6b93e6a1e2d0e7db,대전파이터즈파크,레저/스포츠,50,8.6
9,4dc759e662b3a1942b2782b65a85d4dd,자운대체력단련장,레저/스포츠,50,8.6
10,4d3d3274f78d59678bf7bff080034611,대전시립미술관,문화생활시설,50,6.7
