순위,관광지ID,관심지점명,구분,연령대,비율
1,2eecebd9a6a14ee0490f4528eb22150a,우리들공원,관광명소,30,17.4
2,59eef9b8de992510c3059dd720403c7b,대전오월드,레저/스포츠,30,14.6
3,c068465a71b611ca43be96ba9dea0fee,한밭수목원,레저/스포츠,30,13.3
4,031f529330fca0ca10f5c7f1e48d826f,대전한화생명볼파크,레저/스포츠,30,12.9
5,ca5433380e5c5f27453b9a3fbb64f5d8,국립중앙과학관,문화생활시설,30,8.9
6,25cb65969d572b447f1979010e032f80,대전컨벤션센터제1전시장,문화생활시설,30,7.4
7,4d5407844b1e753a788247fbe3a11e36,대전컨벤션센터제2전시장,문화생활시설,30,7.2
8,10e288b4360eb8cd6b93e6a1e2d0e7db,대전파이터즈파크,레저/스포츠,30,6.4
9,d42eac0a9c0ae6135d5b77a519903c21,대전월드컵경기장,레저/스포츠,30,5.9
10,72b04f710931d0699e0975d8d40a103e,대전아쿠아리움,관광명소,30,5.9
